Process_00,0.000104,0.000131
Process_01,0.000129,0.000163
Process_02,0.000154,0.000188
Process_04,0.000273,0.000306
Process_06,0.000385,0.000419
Process_07,0.000437,0.000471
Process_08,0.000496,0.000527
Process_03,0.000642,0.000677
Process_12,0.000725,0.000746
Process_05,0.000448,0.000762
Process_13,0.000784,0.000816
Process_09,0.001019,0.001051
Process_20,0.001111,0.001149
Process_19,0.001091,0.001125
Process_10,0.001299,0.001331
Process_21,0.001389,0.001422
Process_24,0.001545,0.001611
Process_23,0.001816,0.001844
Process_11,0.001597,0.001626
Process_22,0.001666,0.001695
Process_16,0.002075,0.002104
Process_14,0.001756,0.001784
Process_27,0.001779,0.001807
Process_26,0.002204,0.002233
Process_30,0.002392,0.002421
Process_42,0.003238,0.003266
Process_15,0.001913,0.001942
Process_25,0.002049,0.002078
Process_38,0.003411,0.003440
Process_28,0.002454,0.002482
Process_41,0.003497,0.003528
Process_46,0.003575,0.003608
Process_39,0.003716,0.003749
Process_17,0.002536,0.002566
Process_40,0.003883,0.003944
Process_31,0.002592,0.002623
Process_29,0.002604,0.002633
Process_18,0.002696,0.002725
Process_32,0.002747,0.002779
Process_37,0.002746,0.002779
Process_45,0.002766,0.002798
Process_47,0.002851,0.002878
Process_33,0.002897,0.002915
Process_44,0.002933,0.002962
Process_34,0.003007,0.003025
Process_48,0.003006,0.003034
Process_35,0.003116,0.003134
Process_43,0.003087,0.003116
Process_49,0.003164,0.003194
Process_36,0.003225,0.003242
