Thread_01,0.000033,0.000051
Thread_00,0.000045,0.000063
Thread_05,0.000126,0.000137
Thread_07,0.000155,0.000175
Thread_03,0.000054,0.000069
Thread_04,0.000071,0.000086
Thread_10,0.000182,0.000219
Thread_06,0.000155,0.000175
Thread_08,0.000159,0.000177
Thread_02,0.000045,0.000063
Thread_09,0.000179,0.000229
Thread_11,0.000225,0.000259
Thread_12,0.000267,0.000276
Thread_13,0.000303,0.000316
Thread_14,0.000313,0.000333
Thread_16,0.000339,0.000362
Thread_15,0.000345,0.000368
Thread_17,0.000390,0.000407
Thread_18,0.000396,0.000416
Thread_19,0.000421,0.000435
Thread_22,0.000438,0.000457
Thread_21,0.000457,0.000476
Thread_20,0.000447,0.000494
Thread_24,0.000475,0.000495
Thread_23,0.000506,0.000529
Thread_26,0.000526,0.000551
Thread_25,0.000536,0.000553
Thread_27,0.000548,0.000565
Thread_28,0.000562,0.000576
Thread_29,0.000575,0.000592
Thread_30,0.000586,0.000598
Thread_31,0.000595,0.000637
Thread_32,0.000642,0.000653
Thread_33,0.000660,0.000671
Thread_34,0.000670,0.000693
Thread_35,0.000693,0.000707
Thread_36,0.000701,0.000710
Thread_37,0.000712,0.000726
Thread_38,0.000726,0.000735
Thread_39,0.000736,0.000751
Thread_40,0.000749,0.000758
Thread_41,0.000762,0.000771
Thread_42,0.000785,0.000794
Thread_43,0.000800,0.000810
Thread_44,0.000811,0.000820
Thread_45,0.000826,0.000838
Thread_46,0.000842,0.000856
Thread_47,0.000863,0.000873
Thread_48,0.000875,0.000884
Thread_49,0.000890,0.000901
